[R] REQUEST | 0 | 23:57:37.271043
[S] GRANT | 0 | 23:57:37.273409
[R] REQUEST | 1 | 23:57:37.275269
[S] GRANT | 1 | 23:57:37.277083
[R] REQUEST | 2 | 23:57:37.279060
[R] REQUEST | 3 | 23:57:37.281128
[R] REQUEST | 4 | 23:57:37.283111
[R] REQUEST | 5 | 23:57:37.284680
[R] REQUEST | 6 | 23:57:37.286687
[R] RELEASE | 0 | 23:57:37.288555
[R] REQUEST | 0 | 23:57:37.291093
[R] RELEASE | 1 | 23:57:37.293586
[R] REQUEST | 1 | 23:57:37.296348
[S] GRANT | 2 | 23:57:37.298903
[S] GRANT | 3 | 23:57:37.301351
[R] RELEASE | 2 | 23:57:37.304504
[R] REQUEST | 2 | 23:57:37.307128
[R] RELEASE | 3 | 23:57:37.309919
[R] REQUEST | 3 | 23:57:37.312446
[S] GRANT | 4 | 23:57:37.314699
[S] GRANT | 5 | 23:57:37.317084
[R] RELEASE | 4 | 23:57:37.319862
[R] REQUEST | 4 | 23:57:37.322149
[R] RELEASE | 5 | 23:57:37.324612
[R] REQUEST | 5 | 23:57:37.326451
[S] GRANT | 6 | 23:57:37.328234
[S] GRANT | 0 | 23:57:37.330225
[R] RELEASE | 6 | 23:57:37.333045
[S] GRANT | 1 | 23:57:37.334873
[R] REQUEST | 6 | 23:57:37.337448
[R] RELEASE | 0 | 23:57:37.339922
[S] GRANT | 2 | 23:57:37.341964
[R] REQUEST | 0 | 23:57:37.344392
[R] RELEASE | 1 | 23:57:37.346739
[S] GRANT | 3 | 23:57:37.348840
[R] REQUEST | 1 | 23:57:37.351165
[R] RELEASE | 2 | 23:57:37.352736
[S] GRANT | 4 | 23:57:37.354717
[R] REQUEST | 2 | 23:57:37.357292
[R] RELEASE | 3 | 23:57:37.359856
[S] GRANT | 5 | 23:57:37.362405
[R] REQUEST | 3 | 23:57:37.365034
[R] RELEASE | 4 | 23:57:37.367505
[R] REQUEST | 4 | 23:57:37.369561
[R] RELEASE | 5 | 23:57:37.371900
[R] REQUEST | 5 | 23:57:37.374274
[S] GRANT | 6 | 23:57:37.376637
[S] GRANT | 0 | 23:57:37.378783
[R] RELEASE | 6 | 23:57:37.381614
[R] REQUEST | 6 | 23:57:37.383678
[R] RELEASE | 0 | 23:57:37.386441
[R] REQUEST | 0 | 23:57:37.388951
[S] GRANT | 1 | 23:57:37.391387
[S] GRANT | 2 | 23:57:37.393373
[R] RELEASE | 1 | 23:57:37.396467
[S] GRANT | 3 | 23:57:37.398348
[R] REQUEST | 1 | 23:57:37.400575
[R] RELEASE | 2 | 23:57:37.402671
[R] REQUEST | 2 | 23:57:37.404589
[R] RELEASE | 3 | 23:57:37.407160
[S] GRANT | 4 | 23:57:37.409462
[S] GRANT | 5 | 23:57:37.412133
[R] REQUEST | 3 | 23:57:37.414286
[R] RELEASE | 4 | 23:57:37.416806
[S] GRANT | 6 | 23:57:37.419447
[R] REQUEST | 4 | 23:57:37.422613
[R] RELEASE | 5 | 23:57:37.425368
[S] GRANT | 0 | 23:57:37.428007
[R] REQUEST | 5 | 23:57:37.430772
[R] RELEASE | 6 | 23:57:37.433625
[R] REQUEST | 6 | 23:57:37.435809
[R] RELEASE | 0 | 23:57:37.438469
[R] REQUEST | 0 | 23:57:37.441116
[S] GRANT | 1 | 23:57:37.443994
[S] GRANT | 2 | 23:57:37.446540
[R] RELEASE | 1 | 23:57:37.450189
[R] REQUEST | 1 | 23:57:37.452409
[S] GRANT | 3 | 23:57:37.455655
[S] GRANT | 4 | 23:57:37.458223
[R] RELEASE | 2 | 23:57:37.461260
[R] REQUEST | 2 | 23:57:37.464131
[R] RELEASE | 3 | 23:57:37.466716
[S] GRANT | 5 | 23:57:37.468751
[R] REQUEST | 3 | 23:57:37.471218
[R] RELEASE | 4 | 23:57:37.473794
[S] GRANT | 6 | 23:57:37.476713
[R] REQUEST | 4 | 23:57:37.479545
[R] RELEASE | 5 | 23:57:37.482194
[S] GRANT | 0 | 23:57:37.485174
[R] REQUEST | 5 | 23:57:37.488132
[R] RELEASE | 6 | 23:57:37.490932
[S] GRANT | 1 | 23:57:37.493571
[R] REQUEST | 6 | 23:57:37.496488
[R] RELEASE | 0 | 23:57:37.499212
[R] REQUEST | 0 | 23:57:37.501521
[R] RELEASE | 1 | 23:57:37.504300
[R] REQUEST | 1 | 23:57:37.507326
[S] GRANT | 2 | 23:57:37.510240
[S] GRANT | 3 | 23:57:37.513083
[R] RELEASE | 2 | 23:57:37.516434
[S] GRANT | 4 | 23:57:37.518768
[R] REQUEST | 2 | 23:57:37.521754
[R] RELEASE | 3 | 23:57:37.525065
[S] GRANT | 5 | 23:57:37.528120
[R] REQUEST | 3 | 23:57:37.531199
