[R] RELEASE | 4 | 23:57:37.533899
[R] REQUEST | 4 | 23:57:37.536400
[S] GRANT | 6 | 23:57:37.539424
[S] GRANT | 0 | 23:57:37.542141
[R] RELEASE | 5 | 23:57:37.544103
[R] REQUEST | 5 | 23:57:37.547235
[R] RELEASE | 6 | 23:57:37.549864
[S] GRANT | 1 | 23:57:37.552591
[R] REQUEST | 6 | 23:57:37.555488
[R] RELEASE | 0 | 23:57:37.558753
[S] GRANT | 2 | 23:57:37.561118
[S] GRANT | 3 | 23:57:37.563505
[R] RELEASE | 1 | 23:57:37.565274
[R] RELEASE | 2 | 23:57:37.567470
[S] GRANT | 4 | 23:57:37.570017
[S] GRANT | 5 | 23:57:37.572794
[R] RELEASE | 3 | 23:57:37.575577
[R] RELEASE | 4 | 23:57:37.578439
[S] GRANT | 6 | 23:57:37.580791
[R] RELEASE | 5 | 23:57:37.603681
[R] RELEASE | 6 | 23:57:37.626975
